title,content
Restaurant name:Romanee Conti,"Address:03060 30-20, Bukchon-ro 1-gil, Jongno-gu, Seoul ,Operating time:Monday-Friday 11:30-23:00, Saturday 16:00-23:00 KST,Traffic information:Subway Line 3, Anguk Station, Exit 2"
Restaurant name:Hanu Hanmari,"Address:07779 65, Gangseo-ro 5na-gil, Gangseo-gu, Seoul ,Operating time:Open 24 hours,Traffic information:Line 5 Kkachisan Exit 3  "
Restaurant name:Coffee Bangatgan,"Address:03053 8-11, Bukchon-ro 5ga-gil, Jongno-gu, Seoul, Korea ,Operating time:Daily 08:30 - 23:00,Traffic information:Subway Line 3, Anguk Station, Exit 2 (600 m on foot)"
Restaurant name:Kervan Itaewon Branch,"Address:04406 192, Itaewon-ro, Yongsan-gu, Seoul ,Operating time:11:00-22:00 (KST),Traffic information:Subway Line 6, Itaewon Station, Exit 3"
Restaurant name:Kali,"Address:03079 43, Daehak-ro 11-gil, Jongno-gu, Seoul ,Operating time:Daily 11:30 - 21:10 (KST) (Break Time  15:40 - 17:00) (KST),Traffic information:Subway Line 4, Hyehwa Station, Exit 4"
Restaurant name:Eunjujeong,"Address:04546 32, Changgyeonggung-ro 8-gil, Jung-gu, Seoul ,Operating time:11:30 - 22:00 (KST),Traffic information:Line 2 Euljiro 4(sa)-ga Exit 4  "
Restaurant name:Chakraa,"Address:04419 83, Dokseodang-ro, Yongsan-gu, Seoul ,Operating time:Daily 12:00-15:00, 17:00-21:00 (KST),Traffic information:Subway Line 6, Hangangjin Station, Exit 3  "
Restaurant name:Hangangjip,"Address:04375 400, Baekbeom-ro, Yongsan-gu, Seoul ,Operating time:10:00 - 22:00 (KST),Traffic information:Line 4 Samgakji Station Exit 8  "
Restaurant name:Dublin Terrace,"Address:06130 27-15, Gangnam-daero 94-gil, Gangnam-gu, Seoul (Taeri Building),Operating time:15:00-01:00 KST,Traffic information:Subway Line 2, Gangnam Station, Exits 11 & 12"
Restaurant name:Gaemijip,"Address:06028 110, Apgujeong-ro, Gangnam-gu, Seoul ,Operating time:16:30-24:00 KST,Traffic information:Subway Line 3, Sinsa Station, Exit 8"
Restaurant name:La Main Douce,"Address:121-836 26, Wausan-ro 27-gil, Mapo-gu, Seoul ,Operating time:16:00~23:00 weekend 14:00~23:00 (KST),Traffic information:Line 2 Hong-ik Univ. Exit 7, 8  "
Restaurant name:Samcheonggak,"Address: 02822 3, Daesagwan-ro, Seongbuk-gu, Seoul (Seongbuk-dong, Samcheonggak) ,Operating time:12:00-22:00 KST,Traffic information:Subway Line 5, Gwanghwamun Station - Take the shuttle outside Kyobo Book Store (10:00 - 21:00)  "
Restaurant name:Gino's NY Pizza,"Address:06019 15, Seolleung-ro 155-gil, Gangnam-gu, Seoul ,Operating time:Weekdays 11:30 - 15:00 (KST) / 17:00 - 22:00 (KST) Sat 11:30 - 22:00 (KST) / Sun 11:30 - 21:00 (KST),Traffic information:Bundang Line, Apgujeongrodeo Station, Exit 5 (4 mins on foot)"
Restaurant name:Tea Coop Store,"Address:110-360 99, Donhwamun-ro 11ga-gil, Jongno-gu, Seoul ,Operating time:Daily 10:30 - 18:30 (KST),Traffic information:Subway Line 3, Anguk Station, Exit 4"
Restaurant name:Maple Tree House Itaewon Branch,"Address:04350 26, Itaewon-ro 27ga-gil, Yongsan-gu, Seoul ,Operating time:Weekdays 11:30 - 15:00 / 17:00 - 22:00 (KST) Weekends 10:00 - 20:00 (KST),Traffic information:Subway Line 6, Itaewon Station, Exit 1  "
Restaurant name:Manbal,"Address:06588 32, Seocho-daero 29-gil, Seocho-gu, Seoul ,Operating time:11:30 - 22:00 (KST) * Break time 15:00 - 17:00 (KST),Traffic information:Line 7 Naebang Exit 8  "
Restaurant name:Tumbler Beer,"Address:06236 15, Teheran-ro 20-gil, Gangnam-gu, Seoul ,Operating time:Weekdays 16:00-03:00, Saturdays 16:00-24:00 KST,Traffic information:Subway Line 2, Yeoksam Station, Exit 3  "
Restaurant name:Phoenix,"Address:135-840 440, Teheran-ro, Gangnam-gu, Seoul ,Operating time:Daily 12:00 -15:00 & 18:00 - 22:00,Traffic information:Subway Line 2, Seolleung Station, Exit 1  "
Restaurant name:My Ssong,"Address:06021 16-4, Dosan-daero 45-gil, Gangnam-gu, Seoul ,Operating time:Weekdays 10:00-02:00, Weekends 10:00-15:00, 17:00-02:00 KST,Traffic information:* Subway Line 3, Apgujeong Station, Exit 3 * Bundang Line, Apgujeong Rodeo Station, Exits 5 & 6"
Restaurant name:Dukkeobi Jeongyukjeom Sikdang,"Address:06197 421, Yeoksam-ro, Gangnam-gu, Seoul ,Operating time:Weekdays 11:00-22:00, Weekends 11:00-21:00 KST,Traffic information:Subway Line 2 & Bundang Line, Seolleung Station, Exit 1  "
Restaurant name:A unique fashion cafe in Seoul that can satisfy both the joy of seeing and watching and drinking ,"Address:  ,Operating time:,Traffic information:"
Restaurant name:Beunusual,"Address:06153 5, Seolleung-ro 108-gil, Gangnam-gu, Seoul (B1F) ,Operating time:Tue-Sun 11:30-16:00, 17:30-22:00 KST,Traffic information:Subway Line 9, Suin Bundang Line Seonjeongneung Station Exit 3"
Restaurant name:Busan Yanggopchang ,"Address:06147 8-1, Eonju-ro 98-gil, Gangnam-gu, Seoul ,Operating time:Daily 17:30 - 06:00,Traffic information:Subway Line 2, Seolleung Station, Exit 5   "
Restaurant name:Myeongpum Janchiguksu,"Address:04004 103, Donggyo-ro, Mapo-gu, Seoul ,Operating time:Daily 10:00 - 22:00 (KST),Traffic information:Subway Line 6, Mangwon Station, Exit 1"
Restaurant name:Donsoobaek,"Address:04050 56, Hongik-ro 6-gil, Mapo-gu, Seoul ,Operating time:Open 24 hours,Traffic information:Line 2 Hong-ik Univ. Exit 8  "
Restaurant name:Joseonok,"Address:04544 6-5, Eulji-ro 15-gil, Jung-gu, Seoul ,Operating time:Mon-Sat 11:30-14:30, 16:30-21:30 KST,Traffic information:Subway Line 2, Euljiro 3(sam)-ga Station, Exit 6"
Restaurant name:Iseungnamui Kkotgwa Ppang,"Address:06004 68, Apgujeong-ro 29-gil, Gangnam-gu, Seoul, Korea (�б�����, �������Ʈ) B1F,Operating time:10:00 - 19:00 KST,Traffic information:Subway Line 3, Apgujeong Station, Exit 1"
Restaurant name:Huirak,"Address:04528 22-6, Namdaemunsijang-gil, Jung-gu, Seoul ,Operating time:07:00 - 21:00 (KST),Traffic information:Line 4 Hoehyeon Exit 6"